[10:22:35] INFO > [QUE] FleepRust | Санька: Opened the menu
[10:22:40] INFO > [FTP] #FleepRust Анастасия: Teleported to admin [QUE] FleepRust | Санька
[10:24:26] INFO > [QUE] FleepRust | Санька: Opened the menu
[10:57:52] INFO > [QUE] FleepRust | Санька: Opened the menu
[10:57:58] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561198986134280
[11:01:08] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:01:12] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561198986134280
[11:03:03] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:03:07] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561198986134280
[11:03:35] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:41:10] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:41:13] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199215982553
[11:51:10] INFO > FleepRust | Санька: Opened the menu
