[12:06:50] INFO > FleepRust | Санька: Opened the menu
[12:17:46] INFO > FleepRust | Санька: Opened the menu
[12:49:42] INFO > FleepRust | Санька: Opened the menu
[12:49:47] INFO > FleepRust | Санька: Teleported to user ID 76561199223093722
[12:49:58] INFO > FleepRust | Санька: Opened the menu
[12:50:04] INFO > FleepRust | Санька: Teleported to user ID 76561199196292776
[12:54:24] INFO > FleepRust | Санька: Opened the menu
[12:54:26] INFO > FleepRust | Санька: Teleported to user ID 76561199215982553
[12:56:01] INFO > FleepRust | Санька: Opened the menu
[12:56:06] INFO > FleepRust | Санька: Teleported to user ID 76561199223093722
[01:21:54] INFO > FleepRust | Санька: Opened the menu
[01:22:02] INFO > FleepRust | Санька: Teleported to user ID 76561199196292776
[01:22:18] INFO > FleepRust | Санька: Opened the menu
[01:23:27] INFO > FleepRust | Санька: Opened the menu
[01:23:35] INFO > FleepRust | Санька: Opened the menu
[01:23:39] INFO > FleepRust | Санька: Teleported to user ID 76561199223093722
[01:28:39] INFO > FleepRust | Санька: Opened the menu
[01:28:44] INFO > FleepRust | Санька: Teleported to user ID 76561199196292776
[02:38:01] INFO > FleepRust | Санька: Opened the menu
[02:38:10] INFO > FleepRust | Санька: Opened the menu
[02:38:14] INFO > FleepRust | Санька: Teleported to user ID 76561199223093722
[02:44:20] INFO > FleepRust | Санька: Opened the menu
[02:44:52] INFO > FleepRust | Санька: Opened the menu
[02:44:59] INFO > FleepRust | Санька: Banned user ID 76561198866798575
[02:45:13] INFO > FleepRust | Санька: Banned user ID 76561198866798575
[03:03:22] INFO > FleepRust | Санька: Opened the menu
[03:03:26] INFO > FleepRust | Санька: Teleported to user ID 76561199223093722
[03:05:44] INFO > FleepRust | Санька: Opened the menu
[03:05:47] INFO > FleepRust | Санька: Teleported to user ID 76561199223093722
[03:06:22] INFO > FleepRust | Санька: Opened the menu
[03:10:21] INFO > FleepRust | Санька: Opened the menu
[03:10:25] INFO > FleepRust | Санька: Teleported to user ID 76561199223093722
[03:13:12] INFO > FleepRust | Санька: Opened the menu
[03:13:14] INFO > FleepRust | Санька: Teleported to user ID 76561199223093722
[03:14:41] INFO > FleepRust | Санька: Opened the menu
[03:14:45] INFO > FleepRust | Санька: Teleported to user ID 76561199223093722
[03:15:55] INFO > FleepRust | Санька: Opened the menu
[03:15:59] INFO > FleepRust | Санька: Teleported to user ID 76561198986134280
[03:16:12] INFO > FleepRust | Санька: Opened the menu
[03:16:19] INFO > FleepRust | Санька: Opened the menu
[03:18:29] INFO > FleepRust | Санька: Opened the menu
[03:18:35] INFO > FleepRust | Санька: Teleported to user ID 76561198986134280
