[02:32:30] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199218450096
[02:33:45] INFO > [QUE] FleepRust | Санька: Opened the menu
[02:33:48] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199215982553
[02:40:19] INFO > [QUE] FleepRust | Санька: Opened the menu
[02:40:22] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199218450096
[02:41:41] INFO > [FTP] #FleepRust Анастасия: Opened the menu
[02:41:53] INFO > [FTP] yung: Teleported to admin [FTP] #FleepRust Анастасия
[02:58:11] INFO > [QUE] FleepRust | Санька: Opened the menu
[02:58:15] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199215982553
[04:43:01] INFO > [QUE] FleepRust | Санька: Opened the menu
[04:43:04] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199215575160
[04:43:21] INFO > [QUE] FleepRust | Санька: Opened the menu
[04:43:24] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199215575160
[04:44:10] INFO > [QUE] FleepRust | Санька: Opened the menu
[04:44:13] INFO > [QUE] [#FleepRust]sergey: Teleported to admin [QUE] FleepRust | Санька
[04:45:39] INFO > [QUE] FleepRust | Санька: Opened the menu
[04:45:42] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199215575160
[05:06:20] INFO > [QUE] FleepRust | Санька: Opened the menu
[05:06:24] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199215575160
[05:47:37] INFO > [QUE] FleepRust | Санька: Opened the menu
[05:47:41] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199215575160
[06:09:39] INFO > [QUE] FleepRust | Санька: Opened the menu
[06:09:42] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199215575160
[06:10:39] INFO > [QUE] FleepRust | Санька: Opened the menu
[06:10:43] INFO > [QUE] [#FleepRust]sergey: Teleported to admin [QUE] FleepRust | Санька
[06:13:24] INFO > [QUE] FleepRust | Санька: Opened the menu
[06:13:27] INFO > [QUE] [#FleepRust]sergey: Teleported to admin [QUE] FleepRust | Санька
[06:18:33] INFO > [QUE] FleepRust | Санька: Opened the menu
[06:18:37] INFO > [QUE] [#FleepRust]sergey: Teleported to admin [QUE] FleepRust | Санька
[06:26:25] INFO > [QUE] FleepRust | Санька: Opened the menu
[06:26:28] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199215575160
[06:27:25] INFO > [QUE] FleepRust | Санька: Opened the menu
[06:27:29] INFO > [QUE] [#FleepRust]sergey: Teleported to admin [QUE] FleepRust | Санька
[11:24:23] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:24:33] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199218450096
[11:24:41] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:24:50] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199192539906
[11:25:31] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:25:37] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199164539753
[11:25:45] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:25:49] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199053901893
[11:26:47] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:26:50] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561198286704233
[11:26:54] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:26:56] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561198996842200
[11:27:09] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:27:15] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199187318279
[11:27:32] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:27:39] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561199196292776
[11:28:13] INFO > [QUE] FleepRust | Санька: Opened the menu
[11:28:17] INFO > [QUE] FleepRust | Санька: Teleported to user ID 76561198360230036
[11:28:24] INFO > [QUE] FleepRust | Санька: Opened the menu
